customer_id,ownership,activation_plan_code,mnp_flag,calls_incoming_cnt,calls_outgoing_cnt,calls_incoming_duration,calls_outgoing_duration,total_call_count,total_sum_duration,tot_usage_mb,upload_usage_mb,download_usage_mb,days_since_latch,cnt_open_qrc,avg_days_to_close,cnt_call_drops,pcnt_dropped_calls,rsrp_voice_pcnt_poor_duration,rsrp_data_pcnt_poor_duration,mean_cqi_voice_pcnt_poor_duration,sinr_voice_pcnt_poor_duration,sinr_data_pcnt_poor_duration,age_on_network,cnt_connections,current_plan_code,cnt_recharges_made,total_payment_made,cnt_main_plans_taken,total_main_plans_mrp,cnt_addon_plans_taken,total_addon_plans_mrp,cnt_rchg_offline,cnt_rchg_online,cnt_rchg_on_or_before_expiry,cnt_rchg_after_expiry,current_active_plan_mrp,current_active_plan_validity,last_cycle_plan_mrp,last_cycle_plan_validity,avg_days_bw_rchg_and_expiry,stddev_days_bw_rchg_and_expiry,price_per_day,gb_per_day_quota,pcnt_quota_used,device_avg_asp,recharge_delay
10000,individual,3,0,6.0,13.0,6.495704765538742,25.172204436311617,19.0,31.667909201850357,4557.80847810959,309.38577213259344,4248.422705976997,1,12,5,1.051402352494993,5.53369659207891,73.82820486810547,89.19223804921519,64.88925360024787,36.11848278495149,40.843475846790334,425,3,2,53,13807.314807244447,22,5731.338221875053,31,8075.976585369394,22,31,47.0,6.0,128,28,300,90,-0.3819904109318042,0.7577981731914104,4.571428571428571,1.0,14.836616139679656,50K_above,9.819559152580918
10001,corporate,10,0,86.0,99.0,95.61754207589088,122.27620781825877,185.0,217.89374989414966,6605.9559399068585,727.8957509553119,5878.0601889515465,7,4,7,5.431460846008963,2.9359247816264666,61.9219337624761,74.80821003947337,76.01871243137307,38.4938113969983,43.52954318167698,595,2,9,70,18236.076160511533,44,11462.676443750106,26,6773.399716761427,30,40,23.0,47.0,500,120,999,180,-2.3371969008503983,4.1783416580015045,4.166666666666667,2.0,10.75188141260882,less_10K,-2.0440800692711454
10002,corporate,4,1,5.0,2.0,6.535768698407015,2.756287483569058,7.0,9.292056181976072,2067.754036639498,583.5362658723407,1484.217770767157,0,5,10,0.15576650850181936,2.2252358357402766,73.4650149373636,88.75346640607857,34.33997941242154,58.64454205662354,66.31637744301226,647,8,9,75,19538.6530291195,22,5731.338221875053,53,13807.31480724445,33,42,30.0,45.0,128,28,500,120,-1.226259311222936,4.162945228609219,4.571428571428571,1.0,6.730970171352532,30K_to_50K,6.06101869711018
10003,individual,4,0,19.0,53.0,37.1445511067711,92.70881297551992,72.0,129.85336408229102,2783.272204097725,2697.947400912591,85.32480318513383,3,6,9,1.9803204231420597,2.7504450321417497,81.42887922648359,98.3746522487496,86.55217981720074,15.382668106394632,17.395017310209116,219,6,6,33,8597.00733281258,13,3386.6998583807135,20,5210.3074744318665,12,21,27.0,6.0,500,120,99,15,-3.324098487483118,2.48100476939331,4.166666666666667,2.0,4.530065436356975,30K_to_50K,-0.05745598070338609
10004,individual,8,0,99.0,36.0,178.32135997606866,44.4748785211968,135.0,222.79623849726545,8107.385925407194,1362.4997562860608,6744.886169121133,5,2,14,2.569758638183746,1.9035249171731452,7.886738215530692,9.528009432277928,82.29275629292168,36.78266256712481,41.59454313421318,509,2,6,62,16151.953170738787,17,4428.761353267087,45,11723.1918174717,26,36,11.0,51.0,128,28,1500,365,0.9137494526553116,7.455450436569636,4.571428571428571,1.0,26.391230225934876,20K_to_30K,-4.587821397481368
10005,individual,9,0,13.0,12.0,18.13127541530826,16.35165684934436,25.0,34.48293226465262,14161.959238804671,401.5806286083848,13760.378610196287,1,3,10,0.8850184604993815,3.540073841997526,22.45388104891368,27.126650407135422,11.05075839548122,7.262777208461054,8.212888322595601,284,7,1,39,10160.09957514214,30,7815.4612116478,9,2344.6383634943395,15,24,11.0,28.0,500,120,99,15,2.18933798416706,0.6319973252545636,4.166666666666667,2.0,23.050063865241977,10K_to_20K,8.089833363751492
10006,corporate,9,0,174.0,27.0,263.62130918533114,49.60077662969113,201.0,313.2220858150223,3913.483445887314,516.323244338891,3397.1602015484227,8,1,14,7.077436094922567,3.5211124850361033,23.92477675833438,28.903647159184274,40.23797823109949,17.388250544195902,19.66296855126214,827,1,4,93,24227.92975610818,34,8857.522706534173,59,15370.407049574007,42,51,38.0,55.0,128,28,1500,365,-0.6574379142902189,0.34561293222740297,4.571428571428571,1.0,12.739203925414433,less_10K,2.0012878077253617
10007,individual,7,0,23.0,104.0,25.84567545923015,148.55653068250442,127.0,174.40220614173455,16494.681280519006,800.4513701182251,15694.229910400782,5,2,4,3.3274065458699438,2.620005154228302,29.60256826351221,35.76301658890759,55.6047306549244,52.81041608244304,59.719035446884625,685,1,1,79,20580.714524005874,33,8597.00733281258,46,11983.707191193294,35,44,19.0,60.0,300,90,1500,365,3.4439761190128366,0.18313653366825666,3.3333333333333335,1.5,35.79574930668187,30K_to_50K,0.8949301408872321
10008,corporate,5,0,197.0,25.0,252.49708849488078,33.36240294613212,222.0,285.8594914410129,5427.845225501927,1619.1672030759403,3808.6780224259874,9,6,5,4.801996330019532,2.163061409918708,80.54668461101066,97.30886834828001,13.967119742854539,13.357448072730065,15.104859497603595,447,4,4,55,14328.345554687634,23,5991.853595596646,32,8336.491959090989,23,32,2.0,53.0,999,180,128,28,0.4827090742953235,0.881900317520329,5.55,3.0,5.889589003365807,20K_to_30K,-12.412294307641417
10009,corporate,1,0,2.0,52.0,3.875836359933355,55.28589496462289,54.0,59.16173132455624,1283.1560521896693,213.63913422623892,1069.5169179634304,2,5,9,3.072923276002682,5.690598659264226,54.35137545325245,65.66217919546122,94.39676358728948,64.95608138644309,73.45358765498041,476,5,2,58,15109.891675852414,14,3647.215232102307,44,11462.676443750108,24,34,30.0,28.0,2999,700,128,28,7.283953562354312,0.9130345388526071,4.284285714285715,4.0,1.0442350685137283,30K_to_50K,16.0201043290012
